"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",269.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",4.81,264.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1.71,268.325,3.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",284.575,54.07,278.815,282.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",9.915,261.12,3.715,8.255,275.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",10.31,270.795,10.21,8.655,285.39,11.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",47.345,223.135,41.58,45.69,237.73,38.475,48.155,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",6.975,264.5,6.165,5.315,279.095,3.66,7.555,41.865,0,0,0,0,0,0,0,0,0,0,0,0
"10",15.995,276.46,15.875,14.34,291.055,15.955,8.61,53.82,13.235,0,0,0,0,0,0,0,0,0,0,0
"11",39.03,317.66,43.84,40.745,332.25,48.945,46.98,86.37,46.005,30.385,0,0,0,0,0,0,0,0,0,0
"12",40.6,317.3,45.415,42.315,331.895,50.515,45.55,87.945,47.575,31.955,1.575,0,0,0,0,0,0,0,0,0
"13",276.445,8.65,270.685,274.79,60.535,267.58,277.26,229.595,270.965,282.925,324.12,323.765,0,0,0,0,0,0,0,0
"14",272.835,8.17,267.07,271.17,56.92,263.965,273.645,225.98,267.35,279.31,320.505,320.15,9.745,0,0,0,0,0,0,0
"15",279.24,27.975,273.475,277.58,22.115,270.375,280.055,232.39,273.76,285.715,326.915,326.555,36.52,51.58,0,0,0,0,0,0
"16",3.965,265.09,0.97,2.305,279.685,4.585,10.42,42.45,7.08,16.105,42.99,44.565,271.555,267.94,274.35,0,0,0,0,0
"17",266.08,35.575,260.315,264.42,18.845,257.215,266.89,219.23,260.595,272.555,313.75,313.395,42.035,38.42,13.51,261.185,0,0,0,0
"18",268.905,14.96,263.145,267.25,34.855,260.04,269.72,222.055,263.425,275.385,316.58,316.22,23.505,23.03,13.015,264.015,27.775,0,0,0
"19",275.34,7.545,269.58,273.685,59.43,266.475,276.155,228.49,269.86,281.82,323.015,322.66,1.78,8.64,35.415,270.45,40.93,22.4,0,0
"20",16.585,286.57,21.4,18.3,301.16,26.5,21.61,63.925,23.56,7.94,22.665,24.235,293.03,289.415,295.825,20.545,282.66,285.49,291.925,0
